"シナリオID","話者","会話","キャラクターCenter","キャラクターLeftButton","キャラクターRightButtom","キャラクターLeftTop","キャラクターRightTop","背景"
"0","教官","...","Null","Null","Null","Null","Null","0"
"","教官","どうやら今日は休日のようだ…","Null","Null","Null","Null","Null","0"
"","教官","帰ろう…","Null","Null","Null","Null","Null","0"
"1","教官","今日は模擬戦闘訓練を行います","TrainingCharacter","Null","Null","Null","Null","0"
"","EventBranch","","TrainingCharacter","Null","Null","Null","Null","0"
"2","教官","今日は座学を行います","TrainingCharacter","Null","Null","Null","Null","0"
"","EventBranch","","TrainingCharacter","Null","Null","Null","Null","0"
"3","教官","今日は体力トレーニングを行います","TrainingCharacter","Null","Null","Null","Null","0"
"","EventBranch","","TrainingCharacter","Null","Null","Null","Null","0"
"4","教官","今日は狩猟を行います","TrainingCharacter","Null","Null","Null","Null","0"
"","EventBranch","","TrainingCharacter","Null","Null","Null","Null","0"
"5","教官","今日は休暇を与えた。","Null","Null","Null","Null","Null","0"
"","教官","よく休めただろうか","Null","Null","Null","Null","Null","0"
"6","ナレーション","トレーニングは失敗してしまった","TrainingCharacter","Null","Null","Null","Null","0"
"","ナレーション","パラメータが下がってしまった…","TrainingCharacter","Null","Null","Null","Null","0"
"7","ナレーション","トレーニングは成功した！","TrainingCharacter","Null","Null","Null","Null","0"
"","ナレーション","パラメータが上昇しました！","TrainingCharacter","Null","Null","Null","Null","0"
